time	CH1	CH2	CH3
5140	9,370000	9,270000	4,250000
5147	8,580000	8,600000	4,250000
5154	8,560000	9,020000	4,250000
5160	9,490000	9,610000	4,250000
5168	9,610000	10,190000	4,250000
5174	10,280000	10,620000	4,250000
5181	10,930000	11,080000	4,250000
5188	10,180000	10,400000	4,250000
5194	9,280000	9,030000	4,250000
5201	8,870000	8,760000	4,250000
5208	9,230000	8,640000	4,250000
5215	8,710000	9,340000	4,250000
5222	9,050000	9,710000	4,250000
5228	10,850000	10,390000	4,250000
5235	10,980000	11,240000	4,250000
5241	10,960000	10,700000	4,250000
5249	10,200000	10,270000	4,250000
5256	8,920000	8,750000	4,250000
5262	8,050000	8,360000	4,250000
